"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"01/01/2023 00:00:00 - 01/01/2023 01:00:00","BZN|FR","Without sequence","0.0","",""
"01/01/2023 01:00:00 - 01/01/2023 02:00:00","BZN|FR","Without sequence","-0.1","",""
"01/01/2023 02:00:00 - 01/01/2023 03:00:00","BZN|FR","Without sequence","-1.33","",""
"01/01/2023 03:00:00 - 01/01/2023 04:00:00","BZN|FR","Without sequence","-4.08","",""
"01/01/2023 04:00:00 - 01/01/2023 05:00:00","BZN|FR","Without sequence","-4.16","",""
"01/01/2023 05:00:00 - 01/01/2023 06:00:00","BZN|FR","Without sequence","-3.58","",""
"01/01/2023 06:00:00 - 01/01/2023 07:00:00","BZN|FR","Without sequence","-4.37","",""
"01/01/2023 07:00:00 - 01/01/2023 08:00:00","BZN|FR","Without sequence","-0.12","",""
"01/01/2023 08:00:00 - 01/01/2023 09:00:00","BZN|FR","Without sequence","-0.06","",""
"01/01/2023 09:00:00 - 01/01/2023 10:00:00","BZN|FR","Without sequence","0.0","",""
"01/01/2023 10:00:00 - 01/01/2023 11:00:00","BZN|FR","Without sequence","0.0","",""
"01/01/2023 11:00:00 - 01/01/2023 12:00:00","BZN|FR","Without sequence","0.0","",""
"01/01/2023 12:00:00 - 01/01/2023 13:00:00","BZN|FR","Without sequence","0.0","",""
"01/01/2023 13:00:00 - 01/01/2023 14:00:00","BZN|FR","Without sequence","0.1","",""
"01/01/2023 14:00:00 - 01/01/2023 15:00:00","BZN|FR","Without sequence","1.5","",""
"01/01/2023 15:00:00 - 01/01/2023 16:00:00","BZN|FR","Without sequence","23.5","",""
"01/01/2023 16:00:00 - 01/01/2023 17:00:00","BZN|FR","Without sequence","36.54","",""
"01/01/2023 17:00:00 - 01/01/2023 18:00:00","BZN|FR","Without sequence","46.03","",""
"01/01/2023 18:00:00 - 01/01/2023 19:00:00","BZN|FR","Without sequence","44.43","",""
"01/01/2023 19:00:00 - 01/01/2023 20:00:00","BZN|FR","Without sequence","54.95","",""
"01/01/2023 20:00:00 - 01/01/2023 21:00:00","BZN|FR","Without sequence","47.38","",""
"01/01/2023 21:00:00 - 01/01/2023 22:00:00","BZN|FR","Without sequence","40.24","",""
"01/01/2023 22:00:00 - 01/01/2023 23:00:00","BZN|FR","Without sequence","45.96","",""
"01/01/2023 23:00:00 - 02/01/2023 00:00:00","BZN|FR","Without sequence","35.0","",""
"02/01/2023 00:00:00 - 02/01/2023 01:00:00","BZN|FR","Without sequence","61.38","",""
"02/01/2023 01:00:00 - 02/01/2023 02:00:00","BZN|FR","Without sequence","52.68","",""
"02/01/2023 02:00:00 - 02/01/2023 03:00:00","BZN|FR","Without sequence","52.93","",""
"02/01/2023 03:00:00 - 02/01/2023 04:00:00","BZN|FR","Without sequence","42.75","",""
"02/01/2023 04:00:00 - 02/01/2023 05:00:00","BZN|FR","Without sequence","50.08","",""
"02/01/2023 05:00:00 - 02/01/2023 06:00:00","BZN|FR","Without sequence","67.91","",""
"02/01/2023 06:00:00 - 02/01/2023 07:00:00","BZN|FR","Without sequence","105.08","",""
"02/01/2023 07:00:00 - 02/01/2023 08:00:00","BZN|FR","Without sequence","140.64","",""
"02/01/2023 08:00:00 - 02/01/2023 09:00:00","BZN|FR","Without sequence","149.8","",""
