"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"03/01/2025 07:00:00 - 03/01/2025 08:00:00","BZN|ES","Without sequence","126.0","",""
"03/01/2025 08:00:00 - 03/01/2025 09:00:00","BZN|ES","Without sequence","141.2","",""
"03/01/2025 09:00:00 - 03/01/2025 10:00:00","BZN|ES","Without sequence","138.0","",""
"03/01/2025 10:00:00 - 03/01/2025 11:00:00","BZN|ES","Without sequence","130.52","",""
"03/01/2025 11:00:00 - 03/01/2025 12:00:00","BZN|ES","Without sequence","123.2","",""
"03/01/2025 12:00:00 - 03/01/2025 13:00:00","BZN|ES","Without sequence","113.51","",""
"03/01/2025 13:00:00 - 03/01/2025 14:00:00","BZN|ES","Without sequence","107.6","",""
"03/01/2025 14:00:00 - 03/01/2025 15:00:00","BZN|ES","Without sequence","105.88","",""
"03/01/2025 15:00:00 - 03/01/2025 16:00:00","BZN|ES","Without sequence","110.22","",""
"03/01/2025 16:00:00 - 03/01/2025 17:00:00","BZN|ES","Without sequence","123.2","",""
"03/01/2025 17:00:00 - 03/01/2025 18:00:00","BZN|ES","Without sequence","141.2","",""
"03/01/2025 18:00:00 - 03/01/2025 19:00:00","BZN|ES","Without sequence","149.62","",""
"03/01/2025 19:00:00 - 03/01/2025 20:00:00","BZN|ES","Without sequence","151.25","",""
"03/01/2025 20:00:00 - 03/01/2025 21:00:00","BZN|ES","Without sequence","151.25","",""
"03/01/2025 21:00:00 - 03/01/2025 22:00:00","BZN|ES","Without sequence","149.12","",""
"03/01/2025 22:00:00 - 03/01/2025 23:00:00","BZN|ES","Without sequence","145.58","",""
"03/01/2025 23:00:00 - 04/01/2025 00:00:00","BZN|ES","Without sequence","136.42","",""
"04/01/2025 00:00:00 - 04/01/2025 01:00:00","BZN|ES","Without sequence","109.06","",""
"04/01/2025 01:00:00 - 04/01/2025 02:00:00","BZN|ES","Without sequence","101.0","",""
"04/01/2025 02:00:00 - 04/01/2025 03:00:00","BZN|ES","Without sequence","95.53","",""
"04/01/2025 03:00:00 - 04/01/2025 04:00:00","BZN|ES","Without sequence","94.33","",""
"04/01/2025 04:00:00 - 04/01/2025 05:00:00","BZN|ES","Without sequence","96.62","",""
"04/01/2025 05:00:00 - 04/01/2025 06:00:00","BZN|ES","Without sequence","102.63","",""
"04/01/2025 06:00:00 - 04/01/2025 07:00:00","BZN|ES","Without sequence","110.89","",""
"04/01/2025 07:00:00 - 04/01/2025 08:00:00","BZN|ES","Without sequence","120.25","",""
"04/01/2025 08:00:00 - 04/01/2025 09:00:00","BZN|ES","Without sequence","128.39","",""
"04/01/2025 09:00:00 - 04/01/2025 10:00:00","BZN|ES","Without sequence","128.41","",""
"04/01/2025 10:00:00 - 04/01/2025 11:00:00","BZN|ES","Without sequence","118.99","",""
"04/01/2025 11:00:00 - 04/01/2025 12:00:00","BZN|ES","Without sequence","99.0","",""
"04/01/2025 12:00:00 - 04/01/2025 13:00:00","BZN|ES","Without sequence","82.52","",""
"04/01/2025 13:00:00 - 04/01/2025 14:00:00","BZN|ES","Without sequence","82.27","",""
"04/01/2025 14:00:00 - 04/01/2025 15:00:00","BZN|ES","Without sequence","88.22","",""
"04/01/2025 15:00:00 - 04/01/2025 16:00:00","BZN|ES","Without sequence","97.35","",""
"04/01/2025 16:00:00 - 04/01/2025 17:00:00","BZN|ES","Without sequence","119.47","",""
"04/01/2025 17:00:00 - 04/01/2025 18:00:00","BZN|ES","Without sequence","134.63","",""
"04/01/2025 18:00:00 - 04/01/2025 19:00:00","BZN|ES","Without sequence","145.0","",""
"04/01/2025 19:00:00 - 04/01/2025 20:00:00","BZN|ES","Without sequence","139.73","",""
"04/01/2025 20:00:00 - 04/01/2025 21:00:00","BZN|ES","Without sequence","130.49","",""
"04/01/2025 21:00:00 - 04/01/2025 22:00:00","BZN|ES","Without sequence","123.82","",""
