"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"01/01/2023 00:00:00 - 01/01/2023 01:00:00","BZN|ES","Without sequence","0.0","",""
"01/01/2023 01:00:00 - 01/01/2023 02:00:00","BZN|ES","Without sequence","0.0","",""
"01/01/2023 02:00:00 - 01/01/2023 03:00:00","BZN|ES","Without sequence","0.0","",""
"01/01/2023 03:00:00 - 01/01/2023 04:00:00","BZN|ES","Without sequence","0.0","",""
"01/01/2023 04:00:00 - 01/01/2023 05:00:00","BZN|ES","Without sequence","0.0","",""
"01/01/2023 05:00:00 - 01/01/2023 06:00:00","BZN|ES","Without sequence","0.0","",""
"01/01/2023 06:00:00 - 01/01/2023 07:00:00","BZN|ES","Without sequence","0.0","",""
"01/01/2023 07:00:00 - 01/01/2023 08:00:00","BZN|ES","Without sequence","0.0","",""
"01/01/2023 08:00:00 - 01/01/2023 09:00:00","BZN|ES","Without sequence","0.0","",""
"01/01/2023 09:00:00 - 01/01/2023 10:00:00","BZN|ES","Without sequence","0.0","",""
"01/01/2023 10:00:00 - 01/01/2023 11:00:00","BZN|ES","Without sequence","0.0","",""
"01/01/2023 11:00:00 - 01/01/2023 12:00:00","BZN|ES","Without sequence","0.0","",""
"01/01/2023 12:00:00 - 01/01/2023 13:00:00","BZN|ES","Without sequence","0.0","",""
"01/01/2023 13:00:00 - 01/01/2023 14:00:00","BZN|ES","Without sequence","0.1","",""
"01/01/2023 14:00:00 - 01/01/2023 15:00:00","BZN|ES","Without sequence","0.1","",""
"01/01/2023 15:00:00 - 01/01/2023 16:00:00","BZN|ES","Without sequence","0.01","",""
"01/01/2023 16:00:00 - 01/01/2023 17:00:00","BZN|ES","Without sequence","1.0","",""
"01/01/2023 17:00:00 - 01/01/2023 18:00:00","BZN|ES","Without sequence","4.16","",""
"01/01/2023 18:00:00 - 01/01/2023 19:00:00","BZN|ES","Without sequence","15.1","",""
"01/01/2023 19:00:00 - 01/01/2023 20:00:00","BZN|ES","Without sequence","19.51","",""
"01/01/2023 20:00:00 - 01/01/2023 21:00:00","BZN|ES","Without sequence","24.61","",""
"01/01/2023 21:00:00 - 01/01/2023 22:00:00","BZN|ES","Without sequence","40.07","",""
"01/01/2023 22:00:00 - 01/01/2023 23:00:00","BZN|ES","Without sequence","40.07","",""
"01/01/2023 23:00:00 - 02/01/2023 00:00:00","BZN|ES","Without sequence","16.0","",""
"02/01/2023 00:00:00 - 02/01/2023 01:00:00","BZN|ES","Without sequence","61.38","",""
"02/01/2023 01:00:00 - 02/01/2023 02:00:00","BZN|ES","Without sequence","42.17","",""
"02/01/2023 02:00:00 - 02/01/2023 03:00:00","BZN|ES","Without sequence","42.0","",""
"02/01/2023 03:00:00 - 02/01/2023 04:00:00","BZN|ES","Without sequence","42.07","",""
"02/01/2023 04:00:00 - 02/01/2023 05:00:00","BZN|ES","Without sequence","42.17","",""
"02/01/2023 05:00:00 - 02/01/2023 06:00:00","BZN|ES","Without sequence","63.22","",""
"02/01/2023 06:00:00 - 02/01/2023 07:00:00","BZN|ES","Without sequence","85.0","",""
"02/01/2023 07:00:00 - 02/01/2023 08:00:00","BZN|ES","Without sequence","105.36","",""
"02/01/2023 08:00:00 - 02/01/2023 09:00:00","BZN|ES","Without sequence","131.0","",""
"02/01/2023 09:00:00 - 02/01/2023 10:00:00","BZN|ES","Without sequence","131.58","",""
"02/01/2023 10:00:00 - 02/01/2023 11:00:00","BZN|ES","Without sequence","127.0","",""
"02/01/2023 11:00:00 - 02/01/2023 12:00:00","BZN|ES","Without sequence","126.07","",""
"02/01/2023 12:00:00 - 02/01/2023 13:00:00","BZN|ES","Without sequence","127.0","",""
"02/01/2023 13:00:00 - 02/01/2023 14:00:00","BZN|ES","Without sequence","130.0","",""
"02/01/2023 14:00:00 - 02/01/2023 15:00:00","BZN|ES","Without sequence","131.0","",""
"02/01/2023 15:00:00 - 02/01/2023 16:00:00","BZN|ES","Without sequence","128.0","",""
"02/01/2023 16:00:00 - 02/01/2023 17:00:00","BZN|ES","Without sequence","131.88","",""
"02/01/2023 17:00:00 - 02/01/2023 18:00:00","BZN|ES","Without sequence","160.0","",""
"02/01/2023 18:00:00 - 02/01/2023 19:00:00","BZN|ES","Without sequence","174.74","",""
"02/01/2023 19:00:00 - 02/01/2023 20:00:00","BZN|ES","Without sequence","165.76","",""
"02/01/2023 20:00:00 - 02/01/2023 21:00:00","BZN|ES","Without sequence","153.0","",""
"02/01/2023 21:00:00 - 02/01/2023 22:00:00","BZN|ES","Without sequence","141.67","",""
"02/01/2023 22:00:00 - 02/01/2023 23:00:00","BZN|ES","Without sequence","134.91","",""
"02/01/2023 23:00:00 - 03/01/2023 00:00:00","BZN|ES","Without sequence","124.22","",""
"03/01/2023 00:00:00 - 03/01/2023 01:00:00","BZN|ES","Without sequence","130.01","",""
"03/01/2023 01:00:00 - 03/01/2023 02:00:00","BZN|ES","Without sequence","120.0","",""
"03/01/2023 02:00:00 - 03/01/2023 03:00:00","BZN|ES","Without sequence","118.76","",""
"03/01/2023 03:00:00 - 03/01/2023 04:00:00","BZN|ES","Without sequence","115.0","",""
"03/01/2023 04:00:00 - 03/01/2023 05:00:00","BZN|ES","Without sequence","113.63","",""
