"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"01/01/2025 00:00:00 - 01/01/2025 01:00:00","BZN|FR","Without sequence","12.36","",""
"01/01/2025 01:00:00 - 01/01/2025 02:00:00","BZN|FR","Without sequence","18.92","",""
"01/01/2025 02:00:00 - 01/01/2025 03:00:00","BZN|FR","Without sequence","16.66","",""
"01/01/2025 03:00:00 - 01/01/2025 04:00:00","BZN|FR","Without sequence","13.1","",""
"01/01/2025 04:00:00 - 01/01/2025 05:00:00","BZN|FR","Without sequence","5.9","",""
"01/01/2025 05:00:00 - 01/01/2025 06:00:00","BZN|FR","Without sequence","9.27","",""
"01/01/2025 06:00:00 - 01/01/2025 07:00:00","BZN|FR","Without sequence","10.04","",""
"01/01/2025 07:00:00 - 01/01/2025 08:00:00","BZN|FR","Without sequence","7.23","",""
"01/01/2025 08:00:00 - 01/01/2025 09:00:00","BZN|FR","Without sequence","12.83","",""
"01/01/2025 09:00:00 - 01/01/2025 10:00:00","BZN|FR","Without sequence","13.76","",""
"01/01/2025 10:00:00 - 01/01/2025 11:00:00","BZN|FR","Without sequence","17.95","",""
"01/01/2025 11:00:00 - 01/01/2025 12:00:00","BZN|FR","Without sequence","20.59","",""
"01/01/2025 12:00:00 - 01/01/2025 13:00:00","BZN|FR","Without sequence","28.11","",""
"01/01/2025 13:00:00 - 01/01/2025 14:00:00","BZN|FR","Without sequence","30.0","",""
"01/01/2025 14:00:00 - 01/01/2025 15:00:00","BZN|FR","Without sequence","21.5","",""
"01/01/2025 15:00:00 - 01/01/2025 16:00:00","BZN|FR","Without sequence","10.68","",""
"01/01/2025 16:00:00 - 01/01/2025 17:00:00","BZN|FR","Without sequence","20.18","",""
"01/01/2025 17:00:00 - 01/01/2025 18:00:00","BZN|FR","Without sequence","35.72","",""
"01/01/2025 18:00:00 - 01/01/2025 19:00:00","BZN|FR","Without sequence","48.06","",""
"01/01/2025 19:00:00 - 01/01/2025 20:00:00","BZN|FR","Without sequence","50.14","",""
"01/01/2025 20:00:00 - 01/01/2025 21:00:00","BZN|FR","Without sequence","41.5","",""
"01/01/2025 21:00:00 - 01/01/2025 22:00:00","BZN|FR","Without sequence","34.93","",""
"01/01/2025 22:00:00 - 01/01/2025 23:00:00","BZN|FR","Without sequence","34.69","",""
"01/01/2025 23:00:00 - 02/01/2025 00:00:00","BZN|FR","Without sequence","28.04","",""
"02/01/2025 00:00:00 - 02/01/2025 01:00:00","BZN|FR","Without sequence","39.84","",""
"02/01/2025 01:00:00 - 02/01/2025 02:00:00","BZN|FR","Without sequence","44.1","",""
"02/01/2025 02:00:00 - 02/01/2025 03:00:00","BZN|FR","Without sequence","44.7","",""
"02/01/2025 03:00:00 - 02/01/2025 04:00:00","BZN|FR","Without sequence","42.92","",""
"02/01/2025 04:00:00 - 02/01/2025 05:00:00","BZN|FR","Without sequence","40.15","",""
"02/01/2025 05:00:00 - 02/01/2025 06:00:00","BZN|FR","Without sequence","52.51","",""
"02/01/2025 06:00:00 - 02/01/2025 07:00:00","BZN|FR","Without sequence","93.3","",""
"02/01/2025 07:00:00 - 02/01/2025 08:00:00","BZN|FR","Without sequence","120.03","",""
"02/01/2025 08:00:00 - 02/01/2025 09:00:00","BZN|FR","Without sequence","135.52","",""
"02/01/2025 09:00:00 - 02/01/2025 10:00:00","BZN|FR","Without sequence","136.48","",""
"02/01/2025 10:00:00 - 02/01/2025 11:00:00","BZN|FR","Without sequence","129.04","",""
"02/01/2025 11:00:00 - 02/01/2025 12:00:00","BZN|FR","Without sequence","125.7","",""
"02/01/2025 12:00:00 - 02/01/2025 13:00:00","BZN|FR","Without sequence","125.72","",""
"02/01/2025 13:00:00 - 02/01/2025 14:00:00","BZN|FR","Without sequence","119.3","",""
"02/01/2025 14:00:00 - 02/01/2025 15:00:00","BZN|FR","Without sequence","124.65","",""
"02/01/2025 15:00:00 - 02/01/2025 16:00:00","BZN|FR","Without sequence","130.11","",""
"02/01/2025 16:00:00 - 02/01/2025 17:00:00","BZN|FR","Without sequence","139.5","",""
"02/01/2025 17:00:00 - 02/01/2025 18:00:00","BZN|FR","Without sequence","153.4","",""
"02/01/2025 18:00:00 - 02/01/2025 19:00:00","BZN|FR","Without sequence","153.15","",""
"02/01/2025 19:00:00 - 02/01/2025 20:00:00","BZN|FR","Without sequence","146.66","",""
"02/01/2025 20:00:00 - 02/01/2025 21:00:00","BZN|FR","Without sequence","130.6","",""
"02/01/2025 21:00:00 - 02/01/2025 22:00:00","BZN|FR","Without sequence","120.62","",""
"02/01/2025 22:00:00 - 02/01/2025 23:00:00","BZN|FR","Without sequence","117.89","",""
"02/01/2025 23:00:00 - 03/01/2025 00:00:00","BZN|FR","Without sequence","118.56","",""
"03/01/2025 00:00:00 - 03/01/2025 01:00:00","BZN|FR","Without sequence","103.88","",""
"03/01/2025 01:00:00 - 03/01/2025 02:00:00","BZN|FR","Without sequence","95.18","",""
"03/01/2025 02:00:00 - 03/01/2025 03:00:00","BZN|FR","Without sequence","89.94","",""
"03/01/2025 03:00:00 - 03/01/2025 04:00:00","BZN|FR","Without sequence","87.67","",""
"03/01/2025 04:00:00 - 03/01/2025 05:00:00","BZN|FR","Without sequence","84.06","",""
"03/01/2025 05:00:00 - 03/01/2025 06:00:00","BZN|FR","Without sequence","92.25","",""
