"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"01/01/2021 00:00:00 - 01/01/2021 01:00:00","BZN|ES","Without sequence","50.87","",""
"01/01/2021 01:00:00 - 01/01/2021 02:00:00","BZN|ES","Without sequence","48.19","",""
"01/01/2021 02:00:00 - 01/01/2021 03:00:00","BZN|ES","Without sequence","44.68","",""
"01/01/2021 03:00:00 - 01/01/2021 04:00:00","BZN|ES","Without sequence","38.5","",""
"01/01/2021 04:00:00 - 01/01/2021 05:00:00","BZN|ES","Without sequence","36.8","",""
"01/01/2021 05:00:00 - 01/01/2021 06:00:00","BZN|ES","Without sequence","36.55","",""
"01/01/2021 06:00:00 - 01/01/2021 07:00:00","BZN|ES","Without sequence","36.6","",""
"01/01/2021 07:00:00 - 01/01/2021 08:00:00","BZN|ES","Without sequence","36.55","",""
"01/01/2021 08:00:00 - 01/01/2021 09:00:00","BZN|ES","Without sequence","36.55","",""
"01/01/2021 09:00:00 - 01/01/2021 10:00:00","BZN|ES","Without sequence","36.55","",""
"01/01/2021 10:00:00 - 01/01/2021 11:00:00","BZN|ES","Without sequence","37.55","",""
"01/01/2021 11:00:00 - 01/01/2021 12:00:00","BZN|ES","Without sequence","37.55","",""
"01/01/2021 12:00:00 - 01/01/2021 13:00:00","BZN|ES","Without sequence","37.55","",""
"01/01/2021 13:00:00 - 01/01/2021 14:00:00","BZN|ES","Without sequence","37.55","",""
"01/01/2021 14:00:00 - 01/01/2021 15:00:00","BZN|ES","Without sequence","36.6","",""
"01/01/2021 15:00:00 - 01/01/2021 16:00:00","BZN|ES","Without sequence","35.5","",""
"01/01/2021 16:00:00 - 01/01/2021 17:00:00","BZN|ES","Without sequence","36.0","",""
"01/01/2021 17:00:00 - 01/01/2021 18:00:00","BZN|ES","Without sequence","38.5","",""
"01/01/2021 18:00:00 - 01/01/2021 19:00:00","BZN|ES","Without sequence","52.01","",""
"01/01/2021 19:00:00 - 01/01/2021 20:00:00","BZN|ES","Without sequence","55.16","",""
"01/01/2021 20:00:00 - 01/01/2021 21:00:00","BZN|ES","Without sequence","57.4","",""
"01/01/2021 21:00:00 - 01/01/2021 22:00:00","BZN|ES","Without sequence","53.86","",""
"01/01/2021 22:00:00 - 01/01/2021 23:00:00","BZN|ES","Without sequence","53.45","",""
"01/01/2021 23:00:00 - 02/01/2021 00:00:00","BZN|ES","Without sequence","49.72","",""
"02/01/2021 00:00:00 - 02/01/2021 01:00:00","BZN|ES","Without sequence","46.69","",""
"02/01/2021 01:00:00 - 02/01/2021 02:00:00","BZN|ES","Without sequence","42.43","",""
"02/01/2021 02:00:00 - 02/01/2021 03:00:00","BZN|ES","Without sequence","40.1","",""
"02/01/2021 03:00:00 - 02/01/2021 04:00:00","BZN|ES","Without sequence","39.11","",""
"02/01/2021 04:00:00 - 02/01/2021 05:00:00","BZN|ES","Without sequence","37.55","",""
"02/01/2021 05:00:00 - 02/01/2021 06:00:00","BZN|ES","Without sequence","37.7","",""
"02/01/2021 06:00:00 - 02/01/2021 07:00:00","BZN|ES","Without sequence","39.6","",""
"02/01/2021 07:00:00 - 02/01/2021 08:00:00","BZN|ES","Without sequence","43.34","",""
"02/01/2021 08:00:00 - 02/01/2021 09:00:00","BZN|ES","Without sequence","48.45","",""
"02/01/2021 09:00:00 - 02/01/2021 10:00:00","BZN|ES","Without sequence","51.6","",""
"02/01/2021 10:00:00 - 02/01/2021 11:00:00","BZN|ES","Without sequence","52.0","",""
"02/01/2021 11:00:00 - 02/01/2021 12:00:00","BZN|ES","Without sequence","51.25","",""
"02/01/2021 12:00:00 - 02/01/2021 13:00:00","BZN|ES","Without sequence","50.56","",""
"02/01/2021 13:00:00 - 02/01/2021 14:00:00","BZN|ES","Without sequence","50.57","",""
"02/01/2021 14:00:00 - 02/01/2021 15:00:00","BZN|ES","Without sequence","50.57","",""
"02/01/2021 15:00:00 - 02/01/2021 16:00:00","BZN|ES","Without sequence","48.45","",""
"02/01/2021 16:00:00 - 02/01/2021 17:00:00","BZN|ES","Without sequence","50.25","",""
"02/01/2021 17:00:00 - 02/01/2021 18:00:00","BZN|ES","Without sequence","54.23","",""
"02/01/2021 18:00:00 - 02/01/2021 19:00:00","BZN|ES","Without sequence","58.65","",""
"02/01/2021 19:00:00 - 02/01/2021 20:00:00","BZN|ES","Without sequence","60.43","",""
"02/01/2021 20:00:00 - 02/01/2021 21:00:00","BZN|ES","Without sequence","60.03","",""
"02/01/2021 21:00:00 - 02/01/2021 22:00:00","BZN|ES","Without sequence","55.03","",""
"02/01/2021 22:00:00 - 02/01/2021 23:00:00","BZN|ES","Without sequence","52.25","",""
"02/01/2021 23:00:00 - 03/01/2021 00:00:00","BZN|ES","Without sequence","48.45","",""
"03/01/2021 00:00:00 - 03/01/2021 01:00:00","BZN|ES","Without sequence","46.11","",""
"03/01/2021 01:00:00 - 03/01/2021 02:00:00","BZN|ES","Without sequence","43.0","",""
"03/01/2021 02:00:00 - 03/01/2021 03:00:00","BZN|ES","Without sequence","39.55","",""
"03/01/2021 03:00:00 - 03/01/2021 04:00:00","BZN|ES","Without sequence","37.44","",""
"03/01/2021 04:00:00 - 03/01/2021 05:00:00","BZN|ES","Without sequence","35.64","",""
"03/01/2021 05:00:00 - 03/01/2021 06:00:00","BZN|ES","Without sequence","35.5","",""
"03/01/2021 06:00:00 - 03/01/2021 07:00:00","BZN|ES","Without sequence","36.14","",""
"03/01/2021 07:00:00 - 03/01/2021 08:00:00","BZN|ES","Without sequence","36.97","",""
"03/01/2021 08:00:00 - 03/01/2021 09:00:00","BZN|ES","Without sequence","38.92","",""
"03/01/2021 09:00:00 - 03/01/2021 10:00:00","BZN|ES","Without sequence","44.49","",""
"03/01/2021 10:00:00 - 03/01/2021 11:00:00","BZN|ES","Without sequence","49.0","",""
"03/01/2021 11:00:00 - 03/01/2021 12:00:00","BZN|ES","Without sequence","50.3","",""
"03/01/2021 12:00:00 - 03/01/2021 13:00:00","BZN|ES","Without sequence","48.0","",""
"03/01/2021 13:00:00 - 03/01/2021 14:00:00","BZN|ES","Without sequence","46.64","",""
"03/01/2021 14:00:00 - 03/01/2021 15:00:00","BZN|ES","Without sequence","44.01","",""
"03/01/2021 15:00:00 - 03/01/2021 16:00:00","BZN|ES","Without sequence","41.27","",""
"03/01/2021 16:00:00 - 03/01/2021 17:00:00","BZN|ES","Without sequence","49.92","",""
"03/01/2021 17:00:00 - 03/01/2021 18:00:00","BZN|ES","Without sequence","55.16","",""
"03/01/2021 18:00:00 - 03/01/2021 19:00:00","BZN|ES","Without sequence","59.29","",""
"03/01/2021 19:00:00 - 03/01/2021 20:00:00","BZN|ES","Without sequence","61.09","",""
"03/01/2021 20:00:00 - 03/01/2021 21:00:00","BZN|ES","Without sequence","60.0","",""
"03/01/2021 21:00:00 - 03/01/2021 22:00:00","BZN|ES","Without sequence","59.4","",""
"03/01/2021 22:00:00 - 03/01/2021 23:00:00","BZN|ES","Without sequence","55.36","",""
"03/01/2021 23:00:00 - 04/01/2021 00:00:00","BZN|ES","Without sequence","53.06","",""
"04/01/2021 00:00:00 - 04/01/2021 01:00:00","BZN|ES","Without sequence","50.23","",""
"04/01/2021 01:00:00 - 04/01/2021 02:00:00","BZN|ES","Without sequence","47.01","",""
"04/01/2021 02:00:00 - 04/01/2021 03:00:00","BZN|ES","Without sequence","43.79","",""
"04/01/2021 03:00:00 - 04/01/2021 04:00:00","BZN|ES","Without sequence","41.65","",""
"04/01/2021 04:00:00 - 04/01/2021 05:00:00","BZN|ES","Without sequence","41.62","",""
"04/01/2021 05:00:00 - 04/01/2021 06:00:00","BZN|ES","Without sequence","44.5","",""
"04/01/2021 06:00:00 - 04/01/2021 07:00:00","BZN|ES","Without sequence","56.0","",""
"04/01/2021 07:00:00 - 04/01/2021 08:00:00","BZN|ES","Without sequence","62.0","",""
"04/01/2021 08:00:00 - 04/01/2021 09:00:00","BZN|ES","Without sequence","64.84","",""
"04/01/2021 09:00:00 - 04/01/2021 10:00:00","BZN|ES","Without sequence","68.25","",""
"04/01/2021 10:00:00 - 04/01/2021 11:00:00","BZN|ES","Without sequence","65.97","",""
"04/01/2021 11:00:00 - 04/01/2021 12:00:00","BZN|ES","Without sequence","63.93","",""
"04/01/2021 12:00:00 - 04/01/2021 13:00:00","BZN|ES","Without sequence","63.94","",""
"04/01/2021 13:00:00 - 04/01/2021 14:00:00","BZN|ES","Without sequence","63.94","",""
"04/01/2021 14:00:00 - 04/01/2021 15:00:00","BZN|ES","Without sequence","61.97","",""
"04/01/2021 15:00:00 - 04/01/2021 16:00:00","BZN|ES","Without sequence","62.45","",""
"04/01/2021 16:00:00 - 04/01/2021 17:00:00","BZN|ES","Without sequence","63.9","",""
